customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,region,support_calls,monthly_charges,total_charges,churn,tenure_group,avg_monthly_spend,payment_issue_flag,service_usage_score,contract_value_score,retention_score,customer_value_segment,internet_service_value,total_services_count,churn_risk_flag
CUST006333,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),West,3,135.12,810.72,Yes,0-12 months,Premium ($100+),0,6,1,39.5,High Value - At Risk,2,7,1
CUST007499,Male,0,No,No,14,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,Central,4,104.06,1456.84,No,12-24 months,Premium ($100+),1,5,1,24.33,High Value - At Risk,2,6,1
CUST005688,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Credit card (automatic),South,6,104.64,104.64,Yes,0-12 months,Premium ($100+),0,5,2,44.42,High Value - At Risk,2,6,0
CUST005414,Male,0,Yes,No,22,Yes,Yes,No,No,No internet service,No,No,Yes,No,Two year,Yes,Credit card (automatic),Central,0,28.0,616.0,Yes,12-24 months,Low (<$30),0,3,3,66.67,Low Value - At Risk,0,4,0
CUST002200,Male,0,No,Yes,40,Yes,No,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,Central,5,43.0,1720.0,No,36-48 months,Medium ($30-$70),1,5,2,46.67,Low Value - At Risk,0,6,0
CUST002580,Female,1,No,No,21,No,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Two year,No,Mailed check,South,3,101.03,2121.63,No,12-24 months,Premium ($100+),0,1,3,58.25,High Value - At Risk,2,1,0
CUST007466,Male,0,Yes,Yes,24,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),South,3,100.72,2417.28,No,12-24 months,Premium ($100+),0,4,1,42.0,High Value - At Risk,2,5,0
CUST006131,Male,0,No,No,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,North,3,123.0,7257.0,No,48+ months,Premium ($100+),1,4,1,41.58,High Value - At Risk,2,5,0
CUST003396,Female,0,No,No,44,Yes,No phone service,No,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Central,0,33.0,1452.0,No,36-48 months,Medium ($30-$70),0,3,1,50.83,Low Value - At Risk,0,4,0
CUST001616,Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,East,4,109.36,0.0,No,0-12 months,Premium ($100+),0,3,3,53.5,High Value - At Risk,2,4,0
CUST002234,Female,0,No,Yes,2,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,North,4,56.18,112.36,Yes,0-12 months,Medium ($30-$70),1,3,1,14.33,Low Value - At Risk,1,4,1
CUST005598,Female,0,Yes,Yes,29,Yes,No,No,No internet service,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),Central,2,46.0,1334.0,No,24-36 months,Medium ($30-$70),0,5,2,60.08,Low Value - At Risk,0,6,0
CUST005463,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Mailed check,East,0,111.16,8003.52,No,48+ months,Premium ($100+),0,3,1,62.5,High Value - At Risk,2,4,0
CUST001733,Female,1,Yes,Yes,11,Yes,Yes,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,North,2,25.0,275.0,No,0-12 months,Low (<$30),0,3,1,35.08,Low Value - At Risk,0,4,1
CUST002847,Female,0,Yes,No,18,No,Yes,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,Central,5,59.2,1065.6,No,12-24 months,Medium ($30-$70),1,3,1,20.0,Low Value - At Risk,1,3,1
CUST007335,Male,0,No,No,19,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),South,6,69.35,1317.65,No,12-24 months,Medium ($30-$70),0,5,3,64.42,Low Value - At Risk,1,6,0
CUST003654,Male,0,No,Yes,29,No,No phone service,Fiber optic,No,No,No,No internet service,Yes,Yes,One year,Yes,Mailed check,South,0,123.2,3572.8,No,24-36 months,Premium ($100+),0,2,2,54.58,High Value - At Risk,2,2,0
CUST003530,Male,0,No,No,29,Yes,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,West,4,38.0,1102.0,Yes,24-36 months,Medium ($30-$70),1,4,1,28.08,Low Value - At Risk,0,5,1
CUST006175,Female,1,No,No,8,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,Central,3,30.0,240.0,Yes,0-12 months,Medium ($30-$70),1,4,1,20.33,Low Value - At Risk,0,5,1
CUST002108,Female,0,No,No,72,No,Yes,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),North,1,114.52,8245.44,No,48+ months,Premium ($100+),0,2,1,59.0,High Value - At Risk,2,2,0
CUST006213,Male,0,No,No,4,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No,Two year,No,Credit card (automatic),South,2,105.68,422.72,Yes,0-12 months,Premium ($100+),0,2,3,54.67,High Value - At Risk,2,3,0
CUST000473,Male,0,No,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,South,3,116.41,1047.69,Yes,0-12 months,Premium ($100+),1,4,1,20.75,High Value - At Risk,2,5,1
CUST003934,Male,0,No,Yes,1,No,Yes,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),North,0,65.59,65.59,No,0-12 months,Medium ($30-$70),0,3,1,32.92,Low Value - At Risk,1,3,1
CUST005360,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),East,2,120.76,241.52,No,0-12 months,Premium ($100+),0,5,2,48.83,High Value - At Risk,2,6,0
CUST002852,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),North,6,123.48,740.88,Yes,0-12 months,Premium ($100+),0,5,1,34.0,High Value - At Risk,2,6,1
CUST006573,Male,0,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),South,2,50.99,1631.68,No,24-36 months,Medium ($30-$70),0,3,1,43.83,Low Value - At Risk,1,4,0
CUST005993,Male,0,No,No,72,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,West,4,98.0,7056.0,No,48+ months,High ($70-$100),1,4,1,46.0,High Value - At Risk,2,5,0
CUST007188,Male,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,East,4,91.33,821.97,Yes,0-12 months,High ($70-$100),0,1,1,27.25,High Value - At Risk,2,2,1
CUST001607,Male,0,No,No,11,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),North,4,62.57,688.27,Yes,0-12 months,Medium ($30-$70),0,4,1,35.58,Low Value - At Risk,1,5,1
CUST001673,Female,0,No,No,16,No,Yes,DSL,No internet service,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),South,2,63.11,1009.76,No,12-24 months,Medium ($30-$70),0,4,3,64.67,Low Value - At Risk,1,4,0
CUST004082,Male,0,No,Yes,12,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),South,1,124.26,1491.12,No,0-12 months,Premium ($100+),0,3,3,61.5,High Value - At Risk,2,4,0
CUST004562,Male,0,Yes,No,24,Yes,No phone service,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,South,2,51.9,1245.6,No,12-24 months,Medium ($30-$70),1,1,1,20.5,Low Value - At Risk,1,2,1
CUST007443,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),North,0,99.32,297.96,No,0-12 months,High ($70-$100),0,2,2,43.75,High Value - At Risk,2,3,0
CUST002125,Female,0,Yes,Yes,15,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),East,2,101.25,1518.75,Yes,12-24 months,Premium ($100+),0,5,2,54.25,High Value - At Risk,2,5,0
CUST006465,Female,0,Yes,No,6,No,No,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),North,2,65.06,390.36,Yes,0-12 months,Medium ($30-$70),0,2,1,30.5,Low Value - At Risk,1,2,1
CUST002935,Female,1,No,No,21,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,North,3,103.29,2169.09,No,12-24 months,Premium ($100+),1,3,2,35.75,High Value - At Risk,2,4,1
CUST002860,Male,0,No,Yes,19,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),North,3,65.77,1249.63,Yes,12-24 months,Medium ($30-$70),0,4,1,39.92,Low Value - At Risk,1,5,1
CUST002463,Female,0,No,No,2,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,North,1,72.88,145.76,No,0-12 months,High ($70-$100),0,5,2,49.83,High Value - At Risk,1,6,0
CUST006598,Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,South,1,96.55,289.65,Yes,0-12 months,High ($70-$100),0,3,1,32.75,High Value - At Risk,2,4,1
CUST004865,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,West,0,123.59,2348.21,No,12-24 months,Premium ($100+),1,6,3,57.92,High Value - At Risk,2,7,0
CUST006821,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,South,4,56.58,56.58,No,0-12 months,Medium ($30-$70),1,3,3,38.92,Low Value - At Risk,1,4,1
CUST002081,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),Central,1,98.26,4323.44,No,36-48 months,High ($70-$100),0,1,1,44.83,High Value - At Risk,2,2,0
CUST005628,Male,0,No,No,12,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,South,3,57.21,686.52,No,0-12 months,Medium ($30-$70),1,3,1,19.5,Low Value - At Risk,1,4,1
CUST001516,Male,0,No,Yes,0,Yes,No,No,No,Yes,No,No,No,Yes,Two year,No,Mailed check,West,4,33.0,0.0,Yes,0-12 months,Medium ($30-$70),0,3,3,53.5,Low Value - At Risk,0,4,0
CUST007019,Male,1,No,No,21,Yes,Yes,DSL,Yes,No internet service,No,No,No,Yes,One year,Yes,Electronic check,West,3,59.36,1246.56,No,12-24 months,Medium ($30-$70),1,4,2,38.25,Low Value - At Risk,1,5,1
CUST004424,Female,1,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,North,4,101.96,2854.88,No,24-36 months,Premium ($100+),1,2,3,47.67,High Value - At Risk,2,3,0
CUST006219,Male,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,Yes,No,Yes,No,One year,No,Electronic check,South,3,33.0,528.0,No,12-24 months,Medium ($30-$70),1,4,2,36.17,Low Value - At Risk,0,5,1
CUST006935,Female,1,No,Yes,55,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),East,0,36.0,1980.0,Yes,48+ months,Medium ($30-$70),0,3,1,55.42,Low Value - At Risk,0,4,0
CUST004384,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),North,2,108.65,869.2,Yes,0-12 months,Premium ($100+),0,4,1,36.33,High Value - At Risk,2,5,1
CUST000264,Female,0,Yes,No,13,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,Central,3,28.0,364.0,No,12-24 months,Low (<$30),0,3,2,47.42,Low Value - At Risk,0,4,0
CUST003873,Male,0,No,No,20,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,North,1,117.96,2359.2,No,12-24 months,Premium ($100+),1,4,1,27.33,High Value - At Risk,2,5,1
CUST002132,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,Central,1,113.22,1471.86,No,12-24 months,Premium ($100+),1,4,1,24.42,High Value - At Risk,2,5,1
CUST006614,Male,0,No,Yes,9,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),South,2,68.77,618.93,Yes,0-12 months,Medium ($30-$70),0,4,2,49.25,Low Value - At Risk,1,5,0
CUST005947,Male,0,No,No,31,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,Central,3,72.04,2233.24,Yes,24-36 months,High ($70-$100),0,6,2,62.42,High Value - At Risk,1,7,0
CUST004843,Male,0,No,No,30,No,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),West,5,114.68,3440.4,No,24-36 months,Premium ($100+),0,2,1,37.5,High Value - At Risk,2,2,1
CUST007053,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,East,2,107.62,6026.72,No,48+ months,Premium ($100+),0,4,3,81.33,High Value - High Retention,2,5,0
CUST003669,Male,0,No,No,25,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,West,6,111.02,2775.5,No,24-36 months,Premium ($100+),0,4,3,64.42,High Value - At Risk,2,5,0
CUST003151,Female,1,No,No,4,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,South,0,128.2,512.8,No,0-12 months,Premium ($100+),0,4,1,36.67,High Value - At Risk,2,4,1
CUST002985,Female,0,No,Yes,24,No,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,South,0,115.47,2771.28,Yes,12-24 months,Premium ($100+),0,3,1,42.5,High Value - At Risk,2,3,0
CUST001489,Male,0,No,No,72,No,Yes,No,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,Central,1,20.0,1440.0,No,48+ months,Low (<$30),0,1,1,56.5,Low Value - At Risk,0,1,0
CUST001003,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,North,3,125.66,4272.44,Yes,24-36 months,Premium ($100+),0,5,1,48.67,High Value - At Risk,2,6,0
CUST004646,Female,0,No,No,5,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),Central,2,66.84,334.2,Yes,0-12 months,Medium ($30-$70),0,4,1,35.08,Low Value - At Risk,1,5,1
CUST004946,Female,0,No,No,5,No,Yes,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),South,3,72.82,364.1,No,0-12 months,High ($70-$100),0,5,1,36.58,High Value - At Risk,1,5,1
CUST006432,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,One year,No,Electronic check,North,2,116.21,2789.04,No,12-24 months,Premium ($100+),1,4,2,40.5,High Value - At Risk,2,5,0
CUST007454,Female,0,No,No,51,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,South,3,51.36,2619.36,Yes,48+ months,Medium ($30-$70),1,1,1,30.75,Low Value - At Risk,1,2,1
CUST006460,Male,0,No,Yes,15,No,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,West,0,108.76,1631.4,Yes,12-24 months,Premium ($100+),0,3,1,38.75,High Value - At Risk,2,3,1
CUST000333,Male,0,No,No,6,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),South,5,62.42,374.52,Yes,0-12 months,Medium ($30-$70),0,2,1,27.5,Low Value - At Risk,1,3,1
CUST001761,Male,0,Yes,No,59,No,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,North,1,64.69,3816.71,Yes,48+ months,Medium ($30-$70),1,3,1,41.08,Low Value - At Risk,1,3,0
CUST005502,Male,0,Yes,Yes,1,Yes,No phone service,No,No,No,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),South,3,25.0,25.0,Yes,0-12 months,Low (<$30),0,2,1,27.42,Low Value - At Risk,0,3,1
CUST003078,Male,1,Yes,Yes,3,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,East,4,104.11,312.33,Yes,0-12 months,Premium ($100+),1,4,3,42.25,High Value - At Risk,2,4,0
CUST005455,Female,0,No,No,8,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),South,3,96.8,774.4,Yes,0-12 months,High ($70-$100),0,3,1,32.83,High Value - At Risk,2,4,1
CUST003689,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,One year,Yes,Bank transfer (automatic),South,1,115.52,4851.84,No,36-48 months,Premium ($100+),0,2,2,59.0,High Value - At Risk,2,3,0
CUST000836,Male,0,No,No,9,Yes,No,DSL,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),Central,3,63.63,572.67,No,0-12 months,Medium ($30-$70),0,4,3,60.75,Low Value - At Risk,1,5,0
CUST000497,Female,0,Yes,No,33,Yes,No,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),Central,0,67.34,2222.2200000000003,No,24-36 months,Medium ($30-$70),0,3,1,46.25,Low Value - At Risk,1,4,0
CUST001076,Male,0,Yes,No,5,Yes,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,North,2,28.0,140.0,Yes,0-12 months,Low (<$30),1,3,1,17.58,Low Value - At Risk,0,4,1
CUST006970,Male,0,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,West,3,81.25,1218.75,No,12-24 months,High ($70-$100),0,1,3,55.75,High Value - At Risk,2,2,0
CUST002406,Female,0,No,No,72,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),West,4,101.96,7341.12,Yes,48+ months,Premium ($100+),0,3,1,58.5,High Value - At Risk,2,4,0
CUST006823,Male,0,Yes,Yes,30,Yes,Yes,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,Central,2,64.78,1943.4,No,24-36 months,Medium ($30-$70),1,4,1,30.5,Low Value - At Risk,1,5,1
CUST007119,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),Central,2,113.55,227.1,Yes,0-12 months,Premium ($100+),0,3,3,56.33,High Value - At Risk,2,4,0
CUST001704,Female,0,No,No,2,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Two year,Yes,Mailed check,Central,4,120.34,240.68,No,0-12 months,Premium ($100+),0,4,3,56.83,High Value - At Risk,2,5,0
CUST005665,Female,0,No,No,1,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),West,3,71.45,71.45,Yes,0-12 months,High ($70-$100),0,5,1,34.92,High Value - At Risk,1,6,1
CUST004059,Female,0,Yes,Yes,38,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),South,2,98.29,3735.02,No,36-48 months,High ($70-$100),0,2,3,68.83,High Value - At Risk,2,3,0
CUST000587,Male,1,Yes,No,33,No,No,No,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),West,0,25.0,825.0,Yes,24-36 months,Low (<$30),0,1,1,41.25,Low Value - At Risk,0,1,0
CUST002454,Male,0,Yes,No,7,Yes,Yes,No,No,No,No,Yes,No,No,One year,No,Electronic check,East,3,25.0,175.0,No,0-12 months,Low (<$30),1,3,2,29.92,Low Value - At Risk,0,4,1
CUST002416,Male,1,No,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,Central,1,73.5,220.5,No,0-12 months,High ($70-$100),0,6,1,40.25,High Value - At Risk,1,7,1
CUST004214,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,Yes,One year,Yes,Mailed check,Central,4,98.62,7100.64,No,48+ months,High ($70-$100),0,4,2,73.5,High Value - High Retention,2,5,0
CUST004818,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,South,0,107.5,1720.0,No,12-24 months,Premium ($100+),0,3,1,39.17,High Value - At Risk,2,4,1
CUST000458,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),South,5,87.79,1492.43,Yes,12-24 months,High ($70-$100),0,2,1,32.08,High Value - At Risk,2,3,1
CUST001018,Female,1,No,Yes,13,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),South,3,51.29,666.77,No,12-24 months,Medium ($30-$70),0,2,1,32.42,Low Value - At Risk,1,3,1
CUST007339,Female,0,No,No,35,Yes,No,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,East,6,55.86,1955.1,Yes,24-36 months,Medium ($30-$70),0,3,1,41.08,Low Value - At Risk,1,4,0
CUST003275,Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,North,1,108.24,4979.04,No,36-48 months,Premium ($100+),1,5,3,65.67,High Value - At Risk,2,6,0
CUST006378,Female,0,No,No,11,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,Central,2,52.26,574.86,No,0-12 months,Medium ($30-$70),1,3,1,20.08,Low Value - At Risk,1,4,1
CUST001047,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,East,4,119.24,476.96,No,0-12 months,Premium ($100+),1,5,3,45.17,High Value - At Risk,2,6,0
CUST001262,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,Central,2,112.76,2931.76,Yes,24-36 months,Premium ($100+),0,5,1,46.33,High Value - At Risk,2,6,0
CUST001707,Female,0,No,Yes,0,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Mailed check,West,3,45.16,0.0,Yes,0-12 months,Medium ($30-$70),0,1,1,24.5,Low Value - At Risk,1,2,1
CUST001540,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),North,4,103.37,1757.29,Yes,12-24 months,Premium ($100+),0,4,1,38.08,High Value - At Risk,2,5,1
CUST000102,Female,0,Yes,No,4,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,South,5,66.63,266.52,No,0-12 months,Medium ($30-$70),1,4,1,16.67,Low Value - At Risk,1,5,1
CUST001296,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),Central,2,104.38,313.14,Yes,0-12 months,Premium ($100+),0,2,2,41.75,High Value - At Risk,2,3,0
CUST000737,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Credit card (automatic),South,2,103.18,3198.58,No,24-36 months,Premium ($100+),0,2,3,65.92,High Value - At Risk,2,3,0
CUST000577,Male,0,Yes,No,2,Yes,No,No,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Central,1,38.0,76.0,Yes,0-12 months,Medium ($30-$70),0,4,1,34.83,Low Value - At Risk,0,5,1
CUST003528,Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),South,2,118.43,4500.34,No,36-48 months,Premium ($100+),0,4,3,73.83,High Value - High Retention,2,5,0
