CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Region,SupportCalls,MonthlyCharges,TotalCharges,Churn
CUST005360,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),East,2,120.76,241.52,No
CUST002852,Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),North,6,123.48,740.88,Yes
CUST006573,Male,0,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),South,2,50.99,1631.68,No
CUST005993,Male,0,No,No,72,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Electronic check,West,4,98.0,7056.0,No
CUST007188,Male,0,Yes,No,9,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,East,4,91.33,821.97,Yes
CUST001607,Male,0,No,No,11,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),North,4,62.57,688.27,Yes
CUST001673,Female,0,No,No,16,No,Yes,DSL,No internet service,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),South,2,63.11,1009.76,No
CUST004082,Male,0,No,Yes,12,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),South,1,124.26,1491.12,No
CUST004562,Male,0,Yes,No,24,Yes,No phone service,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,South,2,51.9,1245.6,No
CUST007443,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),North,0,99.32,297.96,No
CUST002125,F,0,Yes,Yes,15,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),East,2,101.25,1518.75,Yes
CUST006465,Female,0,Yes,No,6,No,No,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),North,2,65.06,390.36,Yes
CUST002935,Female,1,No,No,21,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No,One year,Yes,Electronic check,North,3,103.29,2169.09,No
CUST002860,Male,0,No,Yes,19,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),North,3,65.77,1249.63,Yes
CUST002463,Female,0,No,No,2,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,North,1,72.88,145.76,No
CUST006598,Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,South,1,96.55,289.65,Yes
CUST004865,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,West,0,123.59,2348.21,No
CUST006821,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,South,4,56.58,56.58,No
CUST002081,Male,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),Central,1,98.26,4323.44,No
CUST005628,Male,0,No,No,12,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,South,3,57.21,686.52,No
CUST001516,Male,0,No,Yes,0,Yes,No,No,No,Yes,No,No,No,Yes,Two year,No,Mailed check,West,4,33.0,0.0,Yes
CUST007019,Male,1,No,No,21,Yes,Yes,DSL,Yes,No internet service,No,No,No,Yes,One year,Yes,Electronic check,West,3,59.36,1246.56,No
CUST004424,Female,1,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,North,4,101.96,2854.88,No
CUST006219,Male,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,Yes,No,Yes,No,One year,No,Electronic check,South,3,33.0,528.0,No
CUST006935,Female,1,No,Yes,55,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),East,0,36.0,1980.0,Yes
CUST004384,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),North,2,108.65,869.2,Yes
CUST000264,Female,0,Yes,No,13,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,Central,3,28.0,364.0,No
CUST003873,Male,0,No,No,20,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,North,1,117.96,2359.2,No
CUST002132,Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,Central,1,113.22,1471.86,No
CUST006614,Male,0,No,Yes,9,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),South,2,68.77,618.93,Yes
CUST005947,Male,0,No,No,31,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,Central,3,72.04,2233.24,Yes
CUST004843,Male,0,No,No,30,No,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),West,5,114.68,3440.4,No
CUST007053,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,East,2,107.62,6026.72,No
CUST003669,Male,0,No,No,25,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,West,6,111.02,2775.5,No
CUST003151,Female,1,No,No,4,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,South,0,128.2,512.8,No
CUST002985,Female,0,No,Yes,24,No,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,South,0,115.47,2771.28,Yes
CUST001489,Male,0,No,No,72,No,Yes,No,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,Central,1,20.0,1440.0,No
CUST001003,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,North,3,125.66,4272.44,Yes
CUST004646,Female,0,No,No,5,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),Central,2,66.84,334.2,Yes
CUST004946,Female,0,No,No,5,No,Yes,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),South,3,72.82,364.1,No
CUST006432,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,One year,No,Electronic check,North,2,116.21,2789.04,No
CUST007454,Female,0,No,No,51,Yes,No,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,South,3,51.36,2619.36,Yes
CUST006460,Male,0,No,Yes,15,No,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,West,0,108.76,1631.4,Yes
CUST000333,Male,0,No,No,6,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),South,5,62.42,374.52,Yes
CUST001761,Male,0,Yes,No,59,No,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,North,1,64.69,3816.71,Yes
CUST005502,Male,0,Yes,Yes,1,Yes,No phone service,No,No,No,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),South,3,25.0,25.0,Yes
CUST003078,Male,1,Yes,Yes,3,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,East,4,104.11,312.33,Yes
CUST005455,Female,0,No,No,8,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),South,3,96.8,774.4,Yes
CUST003689,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,One year,Yes,Bank transfer (automatic),South,1,115.52,4851.84,No
CUST000836,Male,0,No,No,9,Yes,No,DSL,Yes,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),Central,3,63.63,572.67,No
CUST000497,Female,0,Yes,No,33,Yes,No,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),Central,0,67.34,,No
CUST001076,Male,0,Yes,No,5,Yes,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,North,2,28.0,140.0,Yes
CUST006970,Male,0,No,Yes,15,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,West,3,81.25,1218.75,No
CUST002406,Female,0,No,No,72,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),West,4,101.96,7341.12,Yes
CUST006823,M,0,Yes,Yes,30,Yes,Yes,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,Central,2,64.78,1943.4,No
CUST007119,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),Central,2,113.55,227.1,Yes
CUST001704,Female,0,No,No,2,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Two year,Yes,Mailed check,Central,4,120.34,240.68,No
CUST005665,Female,0,No,No,1,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),West,3,71.45,71.45,Yes
CUST004059,Female,0,Yes,Yes,38,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),South,2,98.29,3735.02,No
CUST000587,Male,1,Yes,No,33,No,No,No,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),West,0,25.0,825.0,Yes
CUST002454,Male,0,Yes,No,7,Yes,Yes,No,No,No,No,Yes,No,No,One year,No,Electronic check,East,3,25.0,175.0,No
CUST002416,M,1,No,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,Central,1,73.5,220.5,No
CUST004214,Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,Yes,One year,Yes,Mailed check,Central,4,98.62,7100.64,No
CUST004818,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,South,0,107.5,1720.0,No
CUST000458,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),South,5,87.79,1492.43,Yes
CUST001018,Female,1,No,Yes,13,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),South,3,51.29,666.77,No
CUST007339,Female,0,No,No,35,Yes,No,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,East,6,55.86,1955.1,Yes
CUST003275,Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,North,1,108.24,4979.04,No
CUST006378,Female,0,No,No,11,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,Central,2,52.26,574.86,No
CUST001047,Male,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,East,4,119.24,476.96,No
CUST001262,Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,Central,2,112.76,2931.76,Yes
CUST001707,Female,0,No,Yes,0,Yes,No,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Mailed check,West,3,45.16,0.0,Yes
CUST001540,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),North,4,103.37,1757.29,Yes
CUST000102,Female,0,Yes,No,4,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,South,5,66.63,266.52,No
CUST001296,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,One year,No,Credit card (automatic),Central,2,104.38,313.14,Yes
CUST000737,Male,0,Yes,No,31,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Credit card (automatic),South,2,103.18,3198.58,No
CUST000577,Male,0,Yes,No,2,Yes,No,No,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),Central,1,38.0,76.0,Yes
CUST003528,Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),South,2,118.43,4500.34,No
CUST000133,Male,0,No,No,67,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,East,1,111.51,7471.17,No
CUST002869,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),West,2,109.89,109.89,Yes
CUST002183,Male,0,Yes,No,24,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,South,3,103.39,2481.36,Yes
CUST006275,Female,1,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),East,3,117.87,4950.54,No
CUST002311,Female,0,No,Yes,10,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,No,Credit card (automatic),East,2,97.7,977.0,No
CUST001916,Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),South,2,124.82,499.28,No
CUST002639,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,South,5,119.2,2980.0,Yes
CUST000066,Female,1,No,No,1,Yes,No,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),Central,2,58.59,58.59,No
CUST000320,Male,0,No,No,62,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,No,Bank transfer (automatic),Central,2,56.11,3478.82,No
CUST004754,Female,0,No,Yes,36,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No,One year,No,Electronic check,North,3,114.88,4135.68,No
CUST001769,Male,0,No,Yes,29,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),North,3,97.91,2839.39,Yes
CUST004576,Male,1,Yes,No,65,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),Central,2,67.22,4369.3,Yes
CUST000510,Female,0,Yes,No,23,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),North,5,68.33,1571.59,No
CUST001503,Male,0,No,Yes,10,No,Yes,No,Yes,Yes,No internet service,Yes,Yes,No,One year,No,Electronic check,South,2,43.0,430.0,No
CUST004640,Female,1,Yes,No,29,Yes,No,No,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,East,1,30.0,870.0,No
CUST006297,Male,1,Yes,Yes,9,Yes,Yes,No,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,West,2,20.0,180.0,No
CUST005003,Female,0,Yes,No,22,No,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,South,3,117.07,2575.54,No
CUST003096,Female,0,No,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,West,4,104.96,6717.44 ,Yes
CUST003103,Female,0,Yes,No,22,Yes,No,No,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),West,1,28.0,616.0,No
CUST000062,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,North,6,100.38,100.38,No
CUST001644,Female,0,Yes,Yes,59,Yes,Yes,No,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,Central,4,25.0,1475.0,No
CUST000466,Male,0,No,Yes,33,Yes,No,DSL,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,South,1,52.96,1747.68,Yes
CUST005710,Female,1,No,No,6,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,North,5,46.0,276.0,No
CUST000857,Male,0,No,Yes,17,No,Yes,DSL,No,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),South,2,49.46,840.82,Yes
CUST001143,Female,0,No,Yes,50,Yes,No,DSL,Yes,No,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),North,1,74.68,3734.0,No
CUST004762,F,0,No,Yes,25,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,Central,4,60.77,1519.25,No
CUST002587,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Central,1,102.95,3500.3,Yes
CUST001678,Male,0,Yes,No,72,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,No,Electronic check,North,1,51.66,3719.52,No
CUST006220,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),North,2,114.75,2524.5,No
CUST006085,Male,0,Yes,No,0,Yes,No,DSL,No,No,Yes,No,No,No internet service,Two year,No,Credit card (automatic),Central,2,50.72,0.0,No
CUST002914,M,0,No,No,2,No,Yes,DSL,No internet service,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,East,3,58.2,116.4,No
CUST004996,Female,1,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,Central,4,107.25,1394.25,Yes
CUST000626,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,West,1,107.55,1828.35,Yes
CUST001860,Female,0,Yes,No,65,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No,One year,Yes,Mailed check,North,4,116.63,7580.95,No
CUST006412,Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),South,3,107.72,430.88,Yes
CUST003050,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,North,2,108.8,1088.0,No
CUST004440,Male,0,No,No,32,Yes,No,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,West,1,38.0,1216.0,Yes
CUST007152,Male,0,No,No,11,Yes,No,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,No,Electronic check,East,2,98.71,1085.81,No
CUST001104,Female,0,Yes,No,56,No,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),West,4,123.13,6895.28,No
CUST000539,Male,0,No,Yes,24,Yes,Yes,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),South,1,80.82,1939.68,Yes
CUST006522,Male,0,No,No,0,No,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),West,0,64.26,0.0,Yes
CUST006278,Male,0,No,Yes,2,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,West,5,82.09,164.18,Yes
CUST005999,Female,0,Yes,Yes,6,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),East,1,71.11,426.66,No
CUST000643,Male,0,No,No,26,Yes,No,DSL,No,No,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),North,2,57.84,1503.84,No
CUST001883,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,Central,1,94.42,188.84,Yes
CUST007410,Female,0,No,Yes,3,Yes,No,DSL,Yes,Yes,No,No,No,No internet service,One year,No,Credit card (automatic),Central,3,58.95,176.85,No
CUST004959,Male,0,Yes,No,7,Yes,No,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),East,3,41.0,287.0,No
CUST003412,Male,0,No,Yes,25,No,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,Central,6,60.11,1502.75,No
CUST001863,Male,0,Yes,No,14,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,South,1,115.37,1615.18,No
CUST002654,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,Central,1,92.25,1937.25,No
CUST004289,Male,0,No,Yes,8,Yes,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,North,1,28.0,224.0,No
CUST002657,Female,0,Yes,No,30,Yes,No,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,Central,3,111.08,3332.4,No
CUST005254,Male,0,Yes,No,4,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,South,1,63.55,254.2,No
CUST000394,Female,0,No,Yes,28,Yes,No,No,Yes,No,No internet service,Yes,No,No,Two year,Yes,Electronic check,West,0,30.0,840.0,No
CUST000038,Male,0,Yes,No,3,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,North,0,57.96,173.88,No
CUST003287,Male,0,Yes,Yes,28,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,Central,2,68.72,1924.16,Yes
